Date,Open,High,Low,Close,Adj Close,Volume
6-Jul-20,3121,3174.75,3120.75,3172,3172,1089068
2-Jul-20,3101.5,3156.75,3095.5,3129,3129,970423
1-Jul-20,3085,3118,3062.75,3103,3103,870888
30-Jun-20,3046,3101,3030.25,3090.25,3090.25,844962
29-Jun-20,2986.25,3051.25,2983.5,3047.75,3047.75,894898
26-Jun-20,3071.5,3082,2992.75,3007,3007,1132229
25-Jun-20,3047,3079.5,3005.5,3070.75,3070.75,1062543
24-Jun-20,3113,3128.25,3019.5,3049,3049,1389332
23-Jun-20,3111.75,3145.5,3060.25,3118.5,3118.5,930977
22-Jun-20,3043,3114.75,3027.5,3110.75,3110.75,828328
19-Jun-20,3109.5,3161.26,3106.5,3161.26,3161.26,1067306
18-Jun-20,3114.5,3130.5,3075.5,3109,3109,87430
17-Jun-20,3122.25,3158,3105.25,3118,3118,109140
16-Jun-20,3077,3167,3071.25,3128.75,3128.75,261299
15-Jun-20,3002.5,3079.5,2935.25,3073,3073,379285
12-Jun-20,3015,3087.75,2982.25,3034.75,3034.75,676747
11-Jun-20,3183.75,3188.75,2996.25,3010.25,3010.25,1888206
10-Jun-20,3205,3227.25,3179.75,3186,3186,1203733
9-Jun-20,3227.5,3231,3190,3205.5,3205.5,916394
8-Jun-20,3192.25,3231.25,3183.25,3227.5,3227.5,790782
5-Jun-20,3113.5,3210.5,3106.25,3186.75,3186.75,1112781
4-Jun-20,3117,3127,3087.5,3110.5,3110.5,1009461
3-Jun-20,3077.75,3129.5,3074.25,3117.75,3117.75,732402
2-Jun-20,3052.75,3079.25,3034.25,3077,3077,764713
1-Jun-20,3032,3058.75,3007.75,3054,3054,714753
29-May-20,3036,3058.5,2992.25,3042,3042,1176313
28-May-20,3034.5,3065.5,3019.5,3038,3038,958717
27-May-20,2994.25,3039.75,2965.5,3035.5,3035.5,1168154
26-May-20,2948.75,3019.75,2947.75,2994.5,2994.5,1023998
22-May-20,2936.75,2957.25,2903.75,2953,2953,866849
21-May-20,2972,2973.5,2933,2937,2937,1079352
20-May-20,2913.75,2975.75,2908.5,2968.5,2968.5,865157
19-May-20,2945,2976.25,2913.75,2918.75,2918.75,921190
18-May-20,2860,2964.5,2850,2948,2948,768821
15-May-20,2846,2863,2809.5,2846.5,2846.5,1151670
14-May-20,2820.25,2853.75,2760.25,2847,2847,1353295
13-May-20,2840,2876.5,2786.25,2813,2813,1541126
12-May-20,2919,2939.75,2838,2852.5,2852.5,974692
11-May-20,2921,2946.5,2889.5,2922.75,2922.75,801756
8-May-20,2881.75,2932.75,2879.25,2928.5,2928.5,641598
7-May-20,2832.25,2894.75,2823.25,2880,2880,833230
6-May-20,2857.5,2886.25,2832,2833.5,2833.5,888865
5-May-20,2827,2889.5,2824.5,2858.25,2858.25,760646
4-May-20,2793,2835.75,2770.75,2825.25,2825.25,886987
1-May-20,2873,2879.5,2811.75,2821.75,2821.75,990942
30-Apr-20,2956.5,2965.25,2878.25,2902.5,2902.5,1134559
29-Apr-20,2870.75,2959.5,2860.75,2941,2941,912841
28-Apr-20,2867.75,2913.5,2851.25,2867.25,2867.25,974954
27-Apr-20,2828.75,2883,2812.75,2869,2869,695131
24-Apr-20,2777,2836,2755,2829.5,2829.5,718259
23-Apr-20,2790.25,2836.75,2772.5,2780.75,2780.75,1098113
22-Apr-20,2737.25,2808,2717.25,2788.5,2788.5,844258
21-Apr-20,2807,2833.25,2717.25,2732,2732,1350460
20-Apr-20,2861.75,2875.75,2804.25,2806.5,2806.5,951288
17-Apr-20,2858,2885.25,2821,2870,2870,958259
16-Apr-20,2767.5,2831.5,2746.5,2787.5,2787.5,960929
15-Apr-20,2843.5,2845.75,2751.25,2775,2775,861143
14-Apr-20,2760.5,2848.75,2752.5,2843,2843,735110
13-Apr-20,2807,2820.5,2710.25,2759.25,2759.25,800021
9-Apr-20,2737.5,2809.75,2700.25,2779.75,2779.75,1114248
8-Apr-20,2640.75,2752.5,2620.75,2735,2735,989636
7-Apr-20,2645.5,2749,2623.75,2642,2642,1179264
6-Apr-20,2483.25,2668.5,2483.25,2644.5,2644.5,758938
3-Apr-20,2514,2529.5,2448.75,2482.75,2482.75,823086
2-Apr-20,2458.25,2525,2424.75,2516.5,2516.5,1060722
1-Apr-20,2562.5,2562.5,2434.25,2448,2448,884677
31-Mar-20,2612.25,2639.25,2555.75,2569.75,2569.75,864900
30-Mar-20,2465,2621.5,2447,2611.25,2611.25,944238
27-Mar-20,2627,2635,2505.5,2524,2524,1022402
26-Mar-20,2471.5,2626,2401.75,2608,2608,1146174
25-Mar-20,2442.5,2561.5,2378.25,2467,2467,1397589
24-Mar-20,2233.25,2448,2230.25,2438,2438,1057349
23-Mar-20,2220.5,2385.5,2174,2220.5,2220.5,1317779
20-Mar-20,2365,2513,2343,2437.98,2437.98,1626055
19-Mar-20,2414.25,2474.25,2287.25,2403.25,2403.25,101131
18-Mar-20,2478.75,2498.75,2273.5,2414,2414,95464
17-Mar-20,2420.75,2554.25,2365,2495.5,2495.5,167283
16-Mar-20,2673.75,2698.5,2351,2416.25,2416.25,190088
13-Mar-20,2433,2708.5,2393.25,2696,2696,503889
12-Mar-20,2738.25,2773.5,2442,2469,2469,1447148
11-Mar-20,2861.75,2869.5,2703,2740.25,2740.25,1109823
